description,bms_show_count,bms_amount,paytm_show_count,paytm_amount,source
2022-12-11,192,547169,93,252097,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-12-11.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-12-11.csv
2022-12-12,194,195243,119,151417,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-12-12.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-12-12.csv
2022-12-13,109,107985,113,152452,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-12-13.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-12-13.csv
2022-12-14,120,135959,82,128755,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-12-14.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-12-14.csv
2022-12-15,18,20990,78,172482,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-12-15.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-12-15.csv
2022-12-17,60,101737,44,293433,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-12-17.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-12-17.csv
2022-12-18,41,150890,30,234960,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-12-18.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-12-18.csv
2022-12-19,74,66200,34,225077,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-12-19.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-12-19.csv
2022-12-20,,,45,224276,https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-12-20.csv
2022-12-21,33,52880,39,238647,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-12-21.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-12-21.csv
2022-12-22,11,12030,18,214795,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-12-22.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-12-22.csv
2022-12-23,14,31410,11,23240,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-12-23.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-12-23.csv
2022-12-24,6,17740,10,27460,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-12-24.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-12-24.csv
2022-12-25,17,73400,13,56790,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-12-25.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-12-25.csv
2022-12-26,17,34560,7,21890,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-12-26.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-12-26.csv
2022-12-27,17,42600,10,27480,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-12-27.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-12-27.csv
2022-12-28,17,27240,4,11240,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-12-28.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-12-28.csv
2022-12-29,7,14950,14,19290,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-12-29.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-12-29.csv
2022-12-30,11,20110,11,12490,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-12-30.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-12-30.csv
2022-12-31,3,7840,11,25760,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2022-12-31.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2022-12-31.csv
2023-01-01,7,23050,11,26640,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2023-01-01.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2023-01-01.csv
2023-01-02,7,17390,11,15150,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2023-01-02.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2023-01-02.csv
2023-01-03,11,18780,7,14140,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2023-01-03.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2023-01-03.csv
2023-01-04,11,10480,11,8380,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2023-01-04.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2023-01-04.csv
2023-01-05,8,9720,11,7940,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2023-01-05.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2023-01-05.csv
2023-01-06,14,8920,14,7450,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2023-01-06.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2023-01-06.csv
2023-01-07,14,8130,14,6080,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2023-01-07.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2023-01-07.csv
2023-01-08,8,11530,14,15700,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2023-01-08.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2023-01-08.csv
2023-01-09,8,2550,14,5740,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2023-01-09.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2023-01-09.csv
2023-01-10,4,2550,14,9370,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2023-01-10.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2023-01-10.csv
2023-01-11,4,3230,4,680,https://github.com/HedCET/bms/tree/main/JayaJayaJayaJayaHey/809eec.2023-01-11.csv;https://github.com/HedCET/paytm-movies/tree/main/JayaJayaJayaJayaHey/4b923d.2023-01-11.csv
