description,bms_show_count,bms_count,paytm_show_count,paytm_amount,source
2022-04-13,9,9980,9,10890,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-04-13.csv_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-04-13.csv
2022-04-14,5,3570,4,3950,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-04-14.csv_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-04-14.csv
2022-04-15,4,3420,4,6590,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-04-15.csv_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-04-15.csv
2022-04-16,4,5770,4,6980,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-04-16.csv_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-04-16.csv
2022-04-17,4,9160,4,13220,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-04-17.csv_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-04-17.csv
2022-04-18,4,2480,4,930,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-04-18.csv_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-04-18.csv
2022-04-19,4,1950,,,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-04-19.csv
2022-04-20,4,2150,4,200,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-04-20.csv_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-04-20.csv
2022-04-21,4,1950,4,400,https://github.com/HedCET/bms/tree/main/BheeshmaParvam/db256f.2022-04-21.csv_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-04-21.csv
2022-04-27,,,0,35910,_https://github.com/HedCET/bms/tree/main/BheeshmaParvam/675e50.2022-04-27.csv
